gene,condition,top_disease,overall_status,kd_ok,effect_size,program_adj_p,disease_OR,disease_FDR,chain_score
RRAS2,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.2625,1.482e-16,2.5487,0.0003376,26.8496
ZBTB1,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,-17.1913,3.16e-16,4.5639,0.0038,26.832
ADCY3,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.3935,1.695e-21,2.6869,0.0141,26.785
NSUN6,Rest,ulcerative colitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-13.3673,7.385e-16,4.1537,0.0303,26.6634
IL2,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.0032,1.137e-121,2.5496,0.0184,26.5807
IL2RA,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.1827,3.132e-20,4.8979,0.0005224,26.5223
JAK2,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-21.8893,6.006e-86,2.8934,0.0048,26.5199
CCR2,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.0693,2.381e-34,2.8071,0.0025,26.4947
CTLA4,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.6966,6.028e-69,2.5487,0.0003376,26.4101
SMAD3,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-3.3054,2.09e-100,3.0405,5.05e-06,26.3553
TIAM1,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-1.5819,0.0,2.018,0.0124,26.352
SESN1,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.1965,1.345e-57,3.0645,0.0018,26.3007
EDARADD,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.8172,1.316e-14,3.0405,5.05e-06,26.2467
CBLB,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.9917,1.747e-300,2.6365,0.0057,26.1607
IL18RAP,Stim8hr,systemic lupus erythematosus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.1073,5.129e-36,3.7403,0.0025,26.109
NR3C1,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.7828,2.861e-60,2.2219,0.0025,26.0724
NCALD,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-4.5737,3.042e-78,2.018,0.0124,26.0527
IL18R1,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.0353,5.042e-43,2.018,0.0124,26.003
CTLA4,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-13.3031,6.028e-69,2.3196,0.002,25.9659
FYN,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-4.2214,1.077e-30,2.2219,0.0025,25.9135
IRF8,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.2124,2.153e-101,2.5487,0.0003376,25.891
CRTAP,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.4097,6.113e-16,2.3613,0.0198,25.8309
BCL2L11,Stim48hr,rheumatoid arthritis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-3.6302,1.208e-22,2.8071,0.0025,25.7821
BCL2L11,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.7842,1.208e-22,2.5496,0.0184,25.7122
DST,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.6828,2.034e-17,2.3196,0.002,25.6984
IL2RA,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.3273,3.132e-20,4.5639,0.0038,25.6887
CDKN1A,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.5757,3.689e-16,2.2933,0.0496,25.6512
IL2,Stim48hr,Crohn's disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-1.1784,1.137e-121,3.956,0.0006502,25.5739
RORC,Stim48hr,ulcerative colitis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-0.4177,5.642e-18,3.2147,0.0117,25.3102
SLC43A3,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.4506,1.21e-17,2.2219,0.005,25.0168
SMAD3,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,1.9968,2.09e-100,2.018,0.0124,24.4476
STAT1,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.8073,1.193e-12,3.0405,5.05e-06,24.3633
BACH2,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-1.4944,5.432e-63,2.5487,0.0003376,24.3269
ACTN1,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.2335,7.303e-16,3.956,0.0006502,24.2494
CDKN1A,Stim48hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.6539,3.689e-16,2.9917,0.0008715,24.0936
ACTN1,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-4.8,7.303e-16,2.2219,0.005,23.9958
STAP1,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.2668,9.543e-15,2.8071,0.0025,23.7961
ADAM19,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.4085,6.767e-13,3.3018,0.0005511,23.4528
PRKCB,Stim8hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-19.4473,7.432e-14,3.6295,0.0066,23.3048
APBB1IP,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.913,1.033e-13,2.2219,0.005,23.2004
PREX1,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.2724,4.479e-14,2.9229,0.0045,22.9988
GNG4,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.6621,6.024e-14,2.2219,0.0025,22.7644
PRKCB,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.065,7.432e-14,4.651,0.0001227,22.7051
SCRN2,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.2938,1.8e-12,3.3018,0.0005511,22.5247
ITPR1,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.6042,2.678e-14,3.0405,5.05e-06,22.3038
BHLHE40,Stim8hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-17.8571,1.526e-14,3.6295,0.0066,22.2311
EDARADD,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.5456,1.316e-14,1.9239,0.0239,22.0707
ZMAT3,Stim48hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.7818,4.195e-14,3.0531,0.0199,22.0634
PDK1,Stim48hr,autoimmune disease,"partial chain - effect:untested, program:supported, disease:supported",1,,6.936e-16,1.9239,0.0239,21.9878
ZMAT3,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.7614,4.195e-14,2.6365,0.0057,21.9287
NAB2,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.8816,1.955e-13,3.8985,0.0028,21.7529
PRKCB,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-26.522,7.432e-14,2.3196,0.002,20.8654
PLEC,Stim8hr,multiple sclerosis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.637,2.59e-12,2.893,0.0308,20.6804
CEP57,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-7.4264,1.145e-11,3.3018,0.0005511,20.5315
INPP4A,Stim8hr,celiac disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.1628,2.25e-11,4.3421,0.0204,20.2544
S100A11,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-14.2139,3.131e-11,2.9819,0.0314,20.0161
LRRC58,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.9893,1.261e-11,2.1056,0.0352,19.8448
DUSP5,Stim48hr,Crohn's disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-3.6006,5.131e-12,3.956,0.0006502,19.6722
STAT1,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.5054,1.193e-12,2.8071,0.0025,19.5822
FRMD4B,Stim8hr,ankylosing spondylitis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-0.7866,9.826e-13,3.6295,0.0066,19.4224
CDKN3,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.4179,2.398e-11,1.926,0.0255,19.3461
TCF7,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.1245,7.738e-13,3.0478,0.0018,19.1869
ATP8B2,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.387,8.263e-09,3.0405,5.05e-06,19.0789
STMN3,Rest,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.7405,1.489e-12,2.0975,0.0068,19.0652
TAGAP,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.0392,1.247e-12,3.2947,0.0095,19.0631
DUSP5,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.7739,5.131e-12,2.5487,0.0003376,18.8202
IKBKE,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.9095,1.167e-11,3.0645,0.0018,18.7572
SPATS2L,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-7.837,4.596e-11,2.5487,0.0003376,18.7226
ERAP1,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-19.3979,2.792e-11,1.9783,0.0184,18.7136
CSF2,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.923,2.113e-10,3.0405,5.05e-06,18.5937
STMN3,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.8984,1.489e-12,2.2219,0.005,18.588
RNF125,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.2208,1.372e-09,3.3018,0.0005511,18.398
IER5L,Stim8hr,atopic eczema,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.9089,5.033e-11,2.9819,0.0404,18.1148
SMAD2,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-20.7495,7.54e-10,3.3018,0.0005511,18.0483
CD28,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-24.9682,4.601e-11,2.9229,0.0045,17.9663
CD28,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-22.406,4.601e-11,2.5487,0.0003376,17.8529
IER5L,Rest,atopic eczema,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.4057,5.033e-11,2.7641,0.0496,17.7355
UFM1,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-32.6117,2.034e-10,2.2219,0.0025,17.6513
RASA3,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.2,1.151e-07,3.0405,5.05e-06,17.5682
RNF125,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.5847,1.372e-09,2.3613,0.0318,17.4408
VEGFB,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.456,7.757e-08,3.0405,5.05e-06,17.4099
CD28,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-18.4759,4.601e-11,2.3196,0.002,17.3213
MYB,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.6129,3.212e-08,3.0405,5.05e-06,17.173
GPR18,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-7.126,2.173e-09,4.651,0.0001227,16.9842
KCNQ1,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-4.5886,1.905e-09,2.3196,0.002,16.9055
NAMPT,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-14.4572,7.069e-09,3.3018,0.0005511,16.8819
FADS2,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,-30.979,1.511e-09,3.956,0.0006502,16.7802
COL6A3,Stim8hr,asthma,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.6204,2.667e-10,2.3974,0.0296,16.7523
PHLDA1,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.9828,3.961e-08,3.0405,5.05e-06,16.7083
FADS2,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,-11.8744,1.511e-09,3.6625,0.0031,16.6786
CD244,Rest,Crohn's disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,0.0,1.915e-10,4.651,0.0001227,16.6691
ADGRE5,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-18.3566,1.38e-09,2.2219,0.0025,16.6535
PIM3,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-7.8351,6.071e-10,2.2219,0.0025,16.618
CSF2,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-7.8104,2.113e-10,2.8071,0.0025,16.5933
CEP128,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-20.7994,1.371e-09,1.9239,0.0239,16.4784
ANXA11,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-36.4246,9.844e-10,2.2219,0.005,16.3021
LGALS9,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.4929,3.406e-07,4.651,0.0001227,16.2395
EAF2,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,-11.3728,4.301e-05,20.424,4.971e-05,16.0631
ICOS,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.3368,6.576e-09,1.9239,0.0478,16.0567
LRRC32,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.3466,4.671e-08,4.8979,0.0005224,15.734
PHLDA1,Rest,ankylosing spondylitis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-4.3155,3.961e-08,4.6227,0.0303,15.6531
PHC1,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.514,2.523e-09,2.2506,0.0288,15.5158
GPR18,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.7174,2.173e-09,2.6126,0.0224,15.448
RBPJ,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-19.6347,1.109e-07,2.9314,0.0255,15.4288
CYFIP2,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.3542,8.959e-08,2.5496,0.0184,15.3135
MYO1B,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.1639,1.285e-07,3.0645,0.0018,15.2072
SPNS3,Rest,rheumatoid arthritis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.532,9.436e-10,2.1213,0.034,15.1329
CYFIP2,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-17.0654,8.959e-08,2.3613,0.0318,15.0814
IL7R,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-3.6042,2.109e-08,3.0405,5.05e-06,14.9933
ITGAM,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-4.9559,1.027e-08,1.9239,0.0239,14.9859
REXO2,Rest,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-28.2223,4.184e-07,2.9079,0.0012,14.9297
LRBA,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-17.7328,4.011e-07,3.0478,0.0018,14.9273
PHLDA1,Stim48hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.5522,3.961e-08,3.3994,0.0115,14.8727
SYPL1,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-13.9848,4.171e-08,2.5622,0.0095,14.7759
MLKL,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-24.4077,9.431e-08,1.8335,0.0253,14.6425
MYB,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.5812,3.212e-08,2.5622,0.0095,14.5629
ELOVL4,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.7348,6.513e-09,2.3196,0.002,14.4807
KLF3,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-4.1979,4.092e-07,3.0405,5.05e-06,14.4396
REXO2,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-35.1683,4.184e-07,2.5487,0.0003376,14.4347
IL4,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.6505,7.392e-08,4.5639,0.0038,14.4145
CTH,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.9238,8.568e-09,2.018,0.0124,14.398
CCR7,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.5229,3.076e-06,3.8545,0.0123,14.2235
AGPAT2,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.7728,2.296e-07,2.2219,0.005,14.1105
FAM184A,Stim8hr,type 1 diabetes mellitus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.0564,6.59e-07,2.7316,0.0352,14.1013
STAT3,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-14.5698,3.798e-07,3.956,0.0006502,14.0705
LRRC32,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.512,4.671e-08,2.2157,0.0025,13.9836
CPPED1,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.4197,2.093e-07,2.3196,0.002,13.8739
RASA3,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.9356,1.151e-07,2.3196,0.002,13.8716
JADE2,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-4.6371,1.509e-07,3.0478,0.0018,13.837
STAT3,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-17.6341,3.798e-07,3.6625,0.0031,13.778
ANXA1,Stim48hr,type 1 diabetes mellitus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.2552,3.63e-06,3.4347,0.0277,13.5458
CXCR4,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.088,1.409e-06,2.5487,0.0003376,13.4289
UBASH3B,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.6913,0.0001155,3.0405,5.05e-06,13.4137
FADS1,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,-24.6064,5.687e-07,3.2947,0.0095,13.2726
IL4,Stim8hr,asthma,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-3.571,7.392e-08,2.5496,0.0184,13.0426
STAT5A,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-23.7671,3.539e-05,3.0645,0.0018,13.0053
IL7R,Stim48hr,rheumatoid arthritis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-1.6832,2.109e-08,2.8071,0.0025,12.9801
ARHGEF3,Stim8hr,asthma,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,0.0,2.202e-08,2.6126,0.0224,12.8278
CNN2,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.8221,1.99e-06,2.1891,0.02,12.8074
HDAC4,Stim8hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-13.8692,2.385e-06,2.9054,0.0253,12.6296
PTP4A3,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-4.9849,1.18e-06,2.12,0.0029,12.5878
INPP5A,Stim48hr,ulcerative colitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.3021,2.091e-06,3.2147,0.0117,12.466
KLF3,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-3.1416,4.092e-07,1.9239,0.0239,12.4332
TRIB1,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.2234,3.194e-06,2.9314,0.0496,12.4016
ETS2,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.4937,6.204e-06,2.9229,0.0045,12.3347
